query_id,query,passage_id,passage,generated_answer
f24d1e15-972b-4866-8ef2-d5d7bbf378bb,What is scorched earth strategy?,[1],"Scorched earth - A scorched-earth policy is a military strategy that aims to destroy anything that might be useful to the enemy while it is advancing through or withdrawing from a location. Any assets that could be used by the enemy may be targeted, for example food sources, water supplies, transportation, communications, industrial resources, and even the locale's people themselves.",A scorched-earth strategy is a military strategy that aims to destroy anything that might be useful to the enemy while it is advancing through or withdrawing from a location. [1]
f24d1e15-972b-4866-8ef2-d5d7bbf378bb,What is scorched earth strategy?,[2],Scorched Earth (disambiguation) - Scorched earth is the military strategy or operational policy of destroying everything useful to the enemy in areas that cannot be defended.,
f24d1e15-972b-4866-8ef2-d5d7bbf378bb,What is scorched earth strategy?,[3],Scorched-earth defense - The scorched-earth defense is a form of risk arbitrage and anti-takeover strategy.,
f24d1e15-972b-4866-8ef2-d5d7bbf378bb,What is scorched earth strategy?,[4],"Scorched earth - In World War I, Imperial Russian army forces created a zone of destruction by using a large-scale scorched-earth strategy during their retreat from the German army in the summer/autumn of 1915. The Russian troops, retreating along a front of more than 600 miles, destroyed anything that might be of use to their enemy, including crops, houses, railways and entire cities. They also forcibly removed huge numbers of people. In pushing the Russians back to their homeland, the German army gained a large area of territory from the Russian Empire (in an area that is today Poland, Ukraine, Belarus, Latvia and Lithuania).",
f24d1e15-972b-4866-8ef2-d5d7bbf378bb,What is scorched earth strategy?,[5],"Salvadoran Civil War - Aryeh Neier, the executive director of Americas Watch, wrote in a 1984 review about the scorched earth approach: ""This may be an effective strategy for winning the war. It is, however, a strategy that involves the use of terror tactics—bombings, strafings, shellings and, occasionally, massacres of civilians.""",
e3bfbe03-bbea-481a-be4f-0065ffae4d5f,What is the longest fork in the American River?,[1],"American River - The North Fork is the longest tributary of the American River, at . It begins at an elevation of about near Lake Tahoe in Placer County at Mountain Meadow Lake, just northeast of Granite Chief and immediately due west of Squaw Valley Ski Resort. It flows westward through remote wilderness areas.",The North Fork American River is the longest fork in the American River. [1][2]
e3bfbe03-bbea-481a-be4f-0065ffae4d5f,What is the longest fork in the American River?,[2],"North Fork American River - The North Fork American River is the longest branch of the American River in Northern California. It is long from its source at the crest of the Sierra Nevada, near Lake Tahoe, to its mouth at Folsom Lake northeast of Sacramento. Prior to the construction of Folsom Dam the river was about longer making for a total length of .",
e3bfbe03-bbea-481a-be4f-0065ffae4d5f,What is the longest fork in the American River?,[3],"Gualala River - The river has three forks: the South Fork, Wheatfield Fork and the North Fork. The South Fork is the longest and travels northwest, parallel to the coast along the San Andreas Fault rift zone. The Wheatfield Fork begins west of Lake Sonoma and has the largest flow of the three forks. Its tributaries include Tombs, Wolf, House, Haupt and Fuller creeks. Wheatfield is the first fork to combine with the South Fork. Buckeye Creek, a tributary of the river, joins the South Fork next. It is followed by Rockpile Creek and Big Pepperwod Creek. The North Fork is the only part of the river in Mendocino County. It travels roughly southwest towards the coast along the San Andreas Fault rift zone and meets the South Fork at the border between the counties, a few miles before the river flows into the ocean.",
e3bfbe03-bbea-481a-be4f-0065ffae4d5f,What is the longest fork in the American River?,[4],"Concho River - The Concho River has three primary feeds: the North, Middle, and South Concho Rivers. The North Concho River is the longest fork, starting in Howard County and traveling southeast for until merging with the South and Middle forks near Goodfellow Air Force Base in San Angelo, Texas. The combined branches of the river flow east about until it eventually empties into the Colorado River within the waters of the O.H. Ivie Lake about east of Paint Rock, Texas.",
e3bfbe03-bbea-481a-be4f-0065ffae4d5f,What is the longest fork in the American River?,[5],"Stones River - The Stones River is composed of three major forks: the West, Middle, and East forks. The West Fork, long, rises in southernmost Rutherford County near the Bedford County line. The upstream portion of its course runs roughly parallel to U.S. Highway 231. The Middle Fork, long, rises in an area of low hills, or knobs, also near the line with Bedford County, near Hoovers Gap, an important troop movement route during the American Civil War. It flows roughly parallel to, but west of, Interstate 24 and U.S. Highway 41, and is met by the West Fork near State Route 99. The East Fork is the longest, at ; it rises in Cannon County on Short Mountain, an outlier of the Cumberland Plateau, and flows through Woodbury, the county seat. This stream is roughly paralleled by U.S. Route 70S.",
